,year,number,released,item_library_URL,standard_map_URL,type,reporting category,standard,item description,pts,school%,state%,school_state_diff,Reporting Category,Domain,Standard Description
126,2023,1,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA314947&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.A-SSE.B.3,SR,AF,AI.A-SSE.B.3,Factor a quadratic expression to solve a problem in a real-world context.,1,65,72,-7,Algebra,Seeing Structure in Expressions,"Use the properties of exponents to transform expressions for exponential functions. For example, the expression 1.15t
can be rewritten as (1.151/12) 12t ≈ 1.01212t to reveal the approximateequivalent monthly interest rate if the annual rate is 15%."
127,2023,2,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA003332783&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-GPE.A.1,SR,GE,GEO.G-GPE.A.1,Create the equation of a circle given its center and radius.,1,32,28,4,Geometry,Expressing Geometric Properties with Equations,Derive the equation of a circle of given center and radius using the Pythagorean Theorem; complete the square to find the center and radius of a circle given by an equation.
128,2023,3,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA303279&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.N-RN.A.2,SR,NQ,AI.N-RN.A.2,Evaluate a radical expression that has an exponent using laws of exponents.,1,65,59,6,Number and Quantity,The Real Number System,Rewrite expressions involving radicals and rational exponents using the properties of exponents.
129,2023,4,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA312323&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.S-ID.A.1,SR,SP,AI.S-ID.A.1,Determine the median value of real-world data displayed in a line plot.,1,30,49,-19,Statistics and Probability,Interpreting Categorical and Quantitative Data,"Represent data with plots on the real number line (dot plots, histograms, and box plots)."
130,2023,5,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA303236&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.A-APR.A.1,SR,AF,AI.A-APR.A.1,"Given a polynomial expression, identify an equivalent expression.",1,52,53,-1,Algebra,Arithmetic with Polynomials and Rational Expressions,"Understand that polynomials form a system analogous to the integers, namely, they are closed under
certain operations. "
131,2023,6,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA294334&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-GPE.B.5,CR,GE,GEO.G-GPE.B.5,"Given a line graphed on a coordinate plane, determine its slope, create an equation of a parallel line, determine whether another line is parallel, and create an equation of a perpendicular line passing through a given point.",4,40,38,2,Geometry,Expressing Geometric Properties with Equations,"Prove the slope criteria for parallel and perpendicular lines and use them to solve geometric problems (e.g., find the equation of a line parallel or perpendicular to a given line that passes through a given point)."
132,2023,7,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA287711&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.A-REI.B.3,SR,AF,AI.A-REI.B.3,Solve a linear inequality based on a real-world context.,1,80,78,2,Algebra,Reasoning with Equations and Inequalities,"Solve linear equations and inequalities in one variable, including equations with coefficients represented by letters."
133,2023,8,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA003336082&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-GPE.B.6,SA,GE,GEO.G-GPE.B.6,Identify the point on a line segment that partitions the segment into a given ratio.,1,60,54,6,Geometry,Expressing Geometric Properties with Equations,Find the point on a directed line segment between two given points that partitions the segment in a given ratio.
134,2023,9,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA273263&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.A-REI.B.4,SR,AF,AI.A-REI.B.4,Identify the solutions of a quadratic equation in factored form.,1,70,63,7,Algebra,Reasoning with Equations and Inequalities,Solve quadratic equations in one variable.
135,2023,10,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA313793&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-SRT.C.6,SR,GE,GEO.G-SRT.C.6,Determine the length of a leg of a right triangle based on angle measures.,1,58,53,5,Geometry,"Similarity, Right Triangles, and Trigonometry","Understand that by similarity, side ratios in right triangles are properties of the angles in the triangle, leading to definitions of trigonometric ratios for acute angles."
