,year,number,released,item_library_URL,standard_map_URL,type,reporting category,standard,item description,pts,school%,state%,school_state_diff,Cluster,text_type,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
126,2023,25,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL713378067&YearCode=2023,SR,RE,R.PK-12.4,Determine the tone of specific paragraphs in a passage.,1,76,73,3,Craft and Structure,Literature,,,,,,,,
127,2023,26,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL713475622&YearCode=2023,SR,RE,R.PK-12.3,Analyze a character's feelings in a passage and identify a point at which those feelings change.,2,51,49,2,Key Ideas and Details,Literature,,,,,,,,
128,2023,27,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL713375305&YearCode=2023,ES,-,-,"Write a narrative that continues the story in the passage, based on a specific event.",8,50,38,12,WR Combined (Conv/Idea Dev),Literature,,,,,,,,
129,2023,28,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL006544709&YearCode=2023,SR,RE,R.PK-12.3,Analyze how specific lines contribute to the development of the subject of a poem.,1,55,39,16,Key Ideas and Details,Literature,,,,,,,,
130,2023,29,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL006546235&YearCode=2023,SR,LA,L.PK-12.2,Identify the purpose of punctuation in lines of a poem.,1,67,65,2,Conventions,Literature,,,,,,,,
131,2023,30,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL006545529&YearCode=2023,SR,RE,R.PK-12.4,Determine the meaning of a phrase in context.,1,63,57,6,Craft and Structure,Literature,,,,,,,,
132,2023,31,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL006446884&YearCode=2023,SR,RE,R.PK-12.1,Identify which character traits are revealed by details in a poem.,1,52,50,2,Key Ideas and Details,Literature,,,,,,,,
133,2023,WR12.IDEA1,,,,ES,WR,,Essay 12 Writing ( idea development ),5,47,36,11,,Informational,,,,,,,,
134,2023,LA12.CONV1,,,,ES,LA,,Essay 12 Language ( conventions ),3,72,54,18,,Informational,,,,,,,,
135,2023,WR27.IDEA2,,,,ES,WR,,Essay 27 Writing ( idea development ),5,40,28,12,,Literature,,,,,,,,
136,2023,LA27.CONV2,,,,ES,LA,,Essay 27 Language ( conventions ),3,67,53,14,,Literature,,,,,,,,
137,2024,1,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL213654472&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.2,SR,RE,R.PK-12.2,Identify a central idea in a passage.,1,84,71,13,Key Ideas and Details,Literature,,,,,,,,13
138,2024,2,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL208476152&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Determine a character's traits based on details in a passage.,1,67,59,8,Key Ideas and Details,Literature,,,,,,,,8
139,2024,3,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL208736539&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.4,SR,LA,L.PK-12.4,Use context to determine which meaning of a multiple-meaning word is used in a passage.,1,79,64,15,Vocabulary Acquisition and Use,Literature,,,,,,,,15
140,2024,4,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL208449230&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Make an inference about how a narrator's feelings change throughout a passage.,1,67,60,7,Key Ideas and Details,Literature,,,,,,,,7
141,2024,5,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL208451648&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.4,SR,RE,R.PK-12.4,Analyze how figurative language contributes to understanding a character in a passage.,1,56,46,10,Craft and Structure,Literature,,,,,,,,10
142,2024,6,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL208475824&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Make an inference about a character from a specific paragraph in a passage.,1,82,84,-2,Key Ideas and Details,Literature,,,,,,,,-2
143,2024,7,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL208449595&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Identify what the actions of a character reveal about the character in a specific paragraph of a passage.,1,69,63,6,Key Ideas and Details,Literature,,,,,,,,6
144,2024,8,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL208452611&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.4,SR,RE,R.PK-12.4,Analyze the mood created in a paragraph of a passage.,1,59,56,3,Craft and Structure,Literature,,,,,,,,3
145,2024,9,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL208580556&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.2,SR,RE,R.PK-12.2,Determine a central idea developed in a passage; identify supporting evidence from the passage.,2,58,52,6,Key Ideas and Details,Literature,,,,,,,,6
146,2024,10,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL208579240&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.5,SR,LA,L.PK-12.5,Use context to determine the meaning of a word in a passage; identify an antonym of the word used in another passage.,1,50,51,-1,Vocabulary Acquisition and Use,Literature,,,,,,,,-1
147,2024,11,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL208734693&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Determine how settings similarly help develop the main characters in two passages; identify supporting evidence from the passages.,2,70,59,11,Key Ideas and Details,Literature,,,,,,,,11
148,2024,12,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL217467654&YearCode=2024,ES,-,-,Write an essay explaining the development of the main characters in two passages; use details from both passages to support the essay.,8,54,47,7,WR Combined (Conv/Idea Dev),Literature,,,,,,,,7
149,2024,13,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL206038392&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,Identify the purpose of sentences from a section of an article.,1,81,78,3,Craft and Structure,Informational,,,,,,,,3
150,2024,14,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL206040879&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.2,SR,RE,R.PK-12.2,Analyze how a specific paragraph contributes to the development of an article.,1,68,67,1,Key Ideas and Details,Informational,,,,,,,,1
151,2024,15,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL206735123&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.6,SR,RE,R.PK-12.6,Determine the purpose of a specific paragraph in an article.,1,76,70,6,Craft and Structure,Informational,,,,,,,,6
152,2024,16,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL206046704&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Analyze how a specific paragraph develops an important idea in an article.,1,62,60,2,Key Ideas and Details,Informational,,,,,,,,2
153,2024,17,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL206049453&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Use information from a section of an article to make an inference about an idea presented in the article.,1,74,70,4,Key Ideas and Details,Informational,,,,,,,,4
154,2024,18,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL206048853&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.4,SR,RE,R.PK-12.4,Use context to determine the meaning of a phrase in an article.,1,89,91,-2,Craft and Structure,Informational,,,,,,,,-2
155,2024,19,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL206054673&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,Identify evidence from a section of an article that supports an idea developed in another article.,1,73,65,8,Craft and Structure,Informational,,,,,,,,8
156,2024,20,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL206054058&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.9,SR,RE,R.PK-12.9,Determine how information is presented similarly in specific sections of two articles.,1,44,49,-5,Integration of Knowledge and Ideas,Informational,,,,,,,,-5
157,2024,21,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL206073551&YearCode=2024,SR,RE,R.PK-12.3,Determine a similar characteristic shared by individuals in two articles.,1,89,85,4,Key Ideas and Details,Informational,,,,,,,,4
158,2024,22,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL206141630&YearCode=2024,SR,LA,L.PK-12.4,Use context to determine the meaning of a multiple-meaning word in an article; identify a sentence from another article that illustrates the meaning.,2,28,29,-1,Vocabulary Acquisition and Use,Informational,,,,,,,,-1
159,2024,23,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL206145148&YearCode=2024,SR,RE,R.PK-12.9,Determine what is revealed about a topic using evidence from two articles.,2,62,64,-2,Integration of Knowledge and Ideas,Informational,,,,,,,,-2
160,2024,24,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL206144041&YearCode=2024,ES,-,-,Write an explanatory essay about the challenges of a given task; use information from two articles to support the essay.,8,58,53,5,WR Combined (Conv/Idea Dev),Informational,,,,,,,,5
161,2024,25,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL213027859&YearCode=2024,SR,LA,L.PK-12.3,Identify the purpose of punctuation in a line of a poem.,1,62,58,4,Knowledge of Language,Literature,,,,,,,,4
162,2024,26,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL207653069&YearCode=2024,SR,RE,R.PK-12.5,Analyze the purpose of the structure of a poem.,1,34,39,-5,Craft and Structure,Literature,,,,,,,,-5
163,2024,27,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL217355629&YearCode=2024,SR,RE,R.PK-12.2,Analyze how a poem uses metaphors to develop central ideas.,2,58,55,3,Key Ideas and Details,Literature,,,,,,,,3
164,2024,28,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL208035502&YearCode=2024,SR,LA,L.PK-12.4,Use context to determine the meaning of a phrase in a poem.,1,71,65,6,Vocabulary Acquisition and Use,Literature,,,,,,,,6
165,2024,29,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL208037687&YearCode=2024,SR,RE,R.PK-12.4,Determine what a phrase helps to reveal about a character in a poem.,1,62,61,1,Craft and Structure,Literature,,,,,,,,1
166,2024,30,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL208038191&YearCode=2024,SR,RE,R.PK-12.4,Determine the meaning of imagery in a poem.,1,32,48,-16,Craft and Structure,Literature,,,,,,,,-16
167,2024,31,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL208038966&YearCode=2024,SR,RE,R.PK-12.2,Determine a theme of a poem.,1,45,51,-6,Key Ideas and Details,Literature,,,,,,,,-6
168,2024,WR12.IDEA1,,,,ES,WR,,Essay 12 Writing ( idea development ),5,45,39,6,,Literature,,,,,,,,6
169,2024,LA12.CONV1,,,,ES,LA,,Essay 12 Language ( conventions ),3,69,61,8,,Literature,,,,,,,,8
170,2024,WR24.IDEA2,,,,ES,WR,,Essay 24 Writing ( idea development ),5,49,45,4,,Informational,,,,,,,,4
171,2024,LA24.CONV2,,,,ES,LA,,Essay 24 Language ( conventions ),3,73,67,6,,Informational,,,,,,,,6
