,year,number,released,item_library_URL,standard_map_URL,type,reporting category,standard,item description,pts,school%,state%,school_state_diff,Cluster,text_type
147,2024,9,FALSE,,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL109060474&YearCode=2024,ES,-,-,Write an essay explaining how a central idea is developed in two excerpts on similar topics; use details from both excerpts for support.,8,76,62,14,WR Combined (Conv/Idea Dev),Literature
148,2024,10,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL012046978&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.1,SR,RE,R.PK-12.1,Make an inference about what lines in a poem reveal about the speaker.,1,59,55,4,Key Ideas and Details,Literature
149,2024,11,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL012047274&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.4,SR,RE,R.PK-12.4,Determine the main effect of a transition between lines of a poem.,1,81,71,10,Craft and Structure,Literature
150,2024,12,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL012047565&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.2,SR,RE,R.PK-12.2,Determine the main idea that is expressed in lines from a poem.,1,81,71,10,Key Ideas and Details,Literature
151,2024,13,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL013442730&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.4,SR,RE,R.PK-12.4,Identify details from a poem that convey the speaker's tone.,2,67,55,12,Craft and Structure,Literature
152,2024,14,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL205344332&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.4,SR,RE,R.PK-12.4,Determine how the author uses figurative language in a paragraph of an excerpt.,1,92,85,7,Craft and Structure,Informational
153,2024,15,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL205344833&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,Analyze how a paragraph from an excerpt develops an author's ideas.,1,84,81,3,Craft and Structure,Informational
154,2024,16,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL205343256&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.2,SR,RE,R.PK-12.2,Determine the central idea of an excerpt.,1,70,66,4,Key Ideas and Details,Informational
155,2024,17,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL205346352&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.6,SR,RE,R.PK-12.6,Determine the purpose of rhetorical questions in a paragraph of an article.,1,88,73,15,Craft and Structure,Informational
156,2024,18,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL205347212&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.4,SR,LA,L.PK-12.4,Identify a phrase from a paragraph of an article that provides context for understanding the meaning of an unknown word.,1,97,81,16,Vocabulary Acquisition and Use,Informational
